Abyssocrinus                             | Animal    | Echinodermata              | -443400000    | -419200000   | <>
Acacocrinus                              | Animal    | Echinodermata              | -443400000    | -433400000   | <>
Acanthoclema                             | Animal    | Bryozoa                    | -443400000    | -422900000   | <>
Acanthocyclus                            | Animal    | Cnidaria                   | -443400000    | -433400000   | Acanthocyclus
Acanthohalysites                         | Animal    | Cnidaria                   | -443400000    | -433400000   | <>
Acaretyrricula                           | Animal    | Brachiopoda                | -443400000    | -433400000   | <>
Acaste                                   | Animal    | Arthropoda                 | -440800000    | -438500000   | Acaste
Acernaspis                               | Animal    | Arthropoda                 | -439000000    | -428200000   | Acernaspis
Achradocrinus                            | Animal    | Echinodermata              | -443400000    | -433400000   | <>
Acidaspis                                | Animal    | Arthropoda                 | -440800000    | -438500000   | Acidaspis
Acidolites                               | Animal    | Cnidaria                   | -443400000    | -433400000   | <>
Acodus                                   | Animal    | Chordata                   | -440800000    | -438500000   | Acodus
Actinoceras                              | Animal    | Mollusca                   | -443400000    | -433400000   | Actinoceras
Actinodictyon                            | Animal    | Porifera                   | -439000000    | -428200000   | <>
Actinopteria                             | Animal    | Mollusca                   | -443400000    | -419200000   | <>
Aechmina                                 | Animal    | Arthropoda                 | -440800000    | -438500000   | <>
Aechminaria                              | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Aegiria                                  | Animal    | Brachiopoda                | -440800000    | -438500000   | <>
Akidograptus                             | Animal    | Hemichordata               | -443400000    | -433400000   | <>
Alaskospira                              | Animal    | Brachiopoda                | -443400000    | -419200000   | <>
Alispira                                 | Animal    | Brachiopoda                | -443400000    | -433400000   | <>
Allocrinus                               | Animal    | Echinodermata              | -443400000    | -419200000   | <>
Allotropiophyllum                        | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Alveolites                               | Animal    | Cnidaria                   | -443400000    | -358900000   | <>
Ambonychia                               | Animal    | Mollusca                   | -443400000    | -436000000   | <>
Amorphognathus                           | Animal    | Chordata                   | -443400000    | -419200000   | Amorphognathus
Amosina                                  | Animal    | Brachiopoda                | -443400000    | -423000000   | <>
Amphicoelia                              | Animal    | Mollusca                   | -443400000    | -427400000   | <>
Amphicyrtoceras                          | Animal    | Mollusca                   | -440800000    | -433400000   | <>
Amphilichas                              | Animal    | Arthropoda                 | -449500000    | -433400000   | <>
Amphiocoelia                             | Animal    | Mollusca                   | -443400000    | -419200000   | <>
Amphipora                                | Animal    | Porifera                   | -443400000    | -358900000   | <>
Amphisella                               | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Amphistrophia                            | Animal    | Brachiopoda                | -443400000    | -427400000   | <>
Amplexoides                              | Animal    | Cnidaria                   | -440800000    | -438500000   | <>
Amplexopora                              | Animal    | Bryozoa                    | -443400000    | -438500000   | Amplexopora
Amplexus                                 | Animal    | Cnidaria                   | -443400000    | -433400000   | Amplexus
Ampyx                                    | Animal    | Arthropoda                 | -440800000    | -438500000   | Ampyx
Amsdenina                                | Animal    | Brachiopoda                | -443400000    | -419200000   | <>
Amsdenoides                              | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Anabaia                                  | Animal    | Brachiopoda                | -440800000    | -438500000   | <>
Anabaria                                 | Animal    | Brachiopoda                | -443400000    | -438500000   | <>
Anacaenaspis                             | Animal    | Arthropoda                 | -440800000    | -438500000   | <>
Ananaspis                                | Animal    | Arthropoda                 | -443400000    | -419200000   | Ananaspis
Anartiocystis                            | Animal    | Echinodermata              | -440800000    | -438500000   | <>
Anasobella                               | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Anastrophia                              | Animal    | Brachiopoda                | -440800000    | -438500000   | <>
Ancillotoechia                           | Animal    | Brachiopoda                | -439000000    | -428200000   | <>
Ancyrochitina                            | Micro     | Sarcodina                  | -439000000    | -428200000   | Ancyrochitina
Angullophyllum                           | Animal    | Cnidaria                   | -443400000    | -433400000   | <>
Anisophyllum                             | Animal    | Cnidaria                   | -443400000    | -419200000   | Anisophyllum
Anodontopsis                             | Animal    | Mollusca                   | -443400000    | -427400000   | <>
Anoplotheca                              | Animal    | Brachiopoda                | -440800000    | -433400000   | <>
Anticostiodus                            | Animal    | Chordata                   | -443400000    | -433400000   | Anticostiodus
Antirhynchonella                         | Animal    | Brachiopoda                | -440800000    | -438500000   | <>
Apatobolbina                             | Animal    | Arthropoda                 | -439000000    | -428200000   | <>
Aphelognathus                            | Animal    | Chordata                   | -443400000    | -422900000   | <>
Aphrosalpinx                             | Animal    | Porifera                   | -443400000    | -419200000   | <>
Aphyllum                                 | Animal    | Cnidaria                   | -440800000    | -433400000   | <>
Appendispinograptus                      | Animal    | Hemichordata               | -449500000    | -433400000   | <>
Apsidognathus                            | Animal    | Chordata                   | -440800000    | -433400000   | <>
Aptychopsis                              | Animal    | Mollusca                   | -440800000    | -438500000   | <>
Arachnophyllum                           | Animal    | Cnidaria                   | -440800000    | -438500000   | <>
Araeopoma                                | Animal    | Cnidaria                   | -443400000    | -433400000   | <>
Aratanea                                 | Animal    | Brachiopoda                | -443400000    | -433400000   | <>
Archaeoscyphia                           | Animal    | Porifera                   | -443400000    | -433400000   | <>
Archipelepis                             | Animal    | Chordata                   | -443400000    | -433400000   | Archipelepis
Archiretiolites                          | Animal    | Hemichordata               | -443400000    | -433400000   | <>
Arctinurus                               | Animal    | Arthropoda                 | -440800000    | -433400000   | Arctinurus
Arcuaria                                 | Animal    | Arthropoda                 | -439000000    | -428200000   | <>
Argopora                                 | Animal    | Bryozoa                    | -443400000    | -433400000   | <>
Ariaspis                                 | Animal    | Chordata                   | -443400000    | -419200000   | Ariaspis
Arjamannia                               | Animal    | Mollusca                   | -440800000    | -438500000   | <>
Armenoceras                              | Animal    | Mollusca                   | -440800000    | -438500000   | Armenoceras
Asaphocrinus                             | Animal    | Echinodermata              | -443400000    | -419200000   | <>
Ascoceras                                | Animal    | Mollusca                   | -443400000    | -422900000   | <>
Ascograptus                              | Animal    | Hemichordata               | -443400000    | -419200000   | <>
Aspelundia                               | Animal    | Chordata                   | -440800000    | -433400000   | <>
Asthenophyllum                           | Animal    | Cnidaria                   | -439000000    | -426200000   | <>
Astraeospongium                          | Animal    | Porifera                   | -443400000    | -427400000   | <>
Astrocerium                              | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Astropentagnathus                        | Animal    | Chordata                   | -440800000    | -433400000   | <>
Astroproetus                             | Animal    | Arthropoda                 | -440800000    | -438500000   | <>
Atactotoechus                            | Animal    | Bryozoa                    | -443400000    | -433400000   | <>
Atavograptus                             | Animal    | Hemichordata               | -440800000    | -438500000   | <>
Athenaegis                               | Animal    | Chordata                   | -443400000    | -433400000   | <>
Athyris                                  | Animal    | Brachiopoda                | -443400000    | -419200000   | Athyris
Athyrisinoides                           | Animal    | Brachiopoda                | -440800000    | -438500000   | <>
Atrypa                                   | Animal    | Brachiopoda                | -439000000    | -426200000   | Atrypa
Atrypina                                 | Animal    | Brachiopoda                | -440800000    | -433400000   | <>
Atrypoidea                               | Animal    | Brachiopoda                | -440800000    | -438500000   | <>
Aulacera                                 | Animal    | Porifera                   | -449500000    | -433400000   | <>
Aulacognathus                            | Animal    | Chordata                   | -439000000    | -428200000   | <>
Aulacopleura                             | Animal    | Arthropoda                 | -440800000    | -438500000   | Aulacopleura
Aulopora                                 | Animal    | Cnidaria                   | -439000000    | -428200000   | Aulopora
Auloporella                              | Animal    | Cnidaria                   | -439000000    | -426200000   | <>
Axolasma                                 | Animal    | Cnidaria                   | -443400000    | -433400000   | <>
Bactrocrinites                           | Animal    | Echinodermata              | -443400000    | -419200000   | <>
Bairdiocypris                            | Animal    | Arthropoda                 | -440800000    | -438500000   | <>
Balizoma                                 | Animal    | Arthropoda                 | -440800000    | -438500000   | Balizoma
