Abavornis                                | Animal    | Chordata                   | -100500000    | -66000000    | Abavornis
Abelichnus                               | Animal    | Chordata                   | -99600000     | -93500000    | Abelichnus
Abropelecinus                            | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Acaeniotyle                              | Micro     | Radiolaria                 | -100500000    | -93900000    | <>
Acalyptomerus                            | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Acalyptopygus                            | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Acanthichthys                            | Animal    | Chordata                   | -145000000    | -66000000    | <>
Acanthoberotha                           | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Acanthoceras                             | Animal    | Mollusca                   | -100500000    | -93900000    | Acanthoceras_(ammonite)
Acanthochaetetes                         | Animal    | Porifera                   | -100500000    | -93900000    | <>
Acanthochirana                           | Animal    | Arthropoda                 | -145000000    | -66000000    | Acanthochirana
Acanthocircus                            | Micro     | Radiolaria                 | -100500000    | -93900000    | <>
Acanthocnemoides                         | Animal    | Arthropoda                 | -113000000    | -93500000    | <>
Acanthocorona                            | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Acanthodiplatys                          | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Acanthohoplites                          | Animal    | Mollusca                   | -100500000    | -93900000    | Acanthohoplites
Acantholabis                             | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Acanthomantispa                          | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Acanthopholis                            | Animal    | Chordata                   | -99600000     | -93500000    | Acanthopholis
Acanthopsychops                          | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Acastea                                  | Micro     | Radiolaria                 | -100500000    | -93900000    | <>
Acesta                                   | Animal    | Mollusca                   | -100500000    | -89800000    | Acesta
Achiderbe                                | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Achillobator                             | Animal    | Chordata                   | -100500000    | -83600000    | Achillobator
Achlyoconis                              | Animal    | Arthropoda                 | -99600000     | -93500000    | <>
Acicularia                               | Plant     | Chlorophyta                | -105300000    | -99600000    | Acicularia
Acila                                    | Animal    | Mollusca                   | -105300000    | -99600000    | Acila
