Abyssocrinus                             | Animal    | Echinodermata              | -443400000    | -419200000   | <>
Acacocrinus                              | Animal    | Echinodermata              | -433400000    | -427400000   | <>
Acaenoplax                               | Animal    | Mollusca                   | -433400000    | -427400000   | Acaenoplax
Acanthalomina                            | Animal    | Arthropoda                 | -433400000    | -419200000   | <>
Acanthoclema                             | Animal    | Bryozoa                    | -433400000    | -427400000   | <>
Acanthograptus                           | Animal    | Hemichordata               | -433400000    | -427400000   | <>
Acanthopyge                              | Animal    | Arthropoda                 | -433400000    | -427400000   | Acanthopyge
Acanthoscapha                            | Animal    | Arthropoda                 | -433400000    | -423000000   | <>
Acaste                                   | Animal    | Arthropoda                 | -430500000    | -427400000   | Acaste
Acastocephala                            | Animal    | Arthropoda                 | -433400000    | -427400000   | Acastocephala
Acastoides                               | Animal    | Arthropoda                 | -433400000    | -427400000   | Acastoides
Acernaspis                               | Animal    | Arthropoda                 | -439000000    | -428200000   | Acernaspis
Acervularia                              | Animal    | Cnidaria                   | -430500000    | -425600000   | Acervularia
Acidaspis                                | Animal    | Arthropoda                 | -433400000    | -423000000   | Acidaspis
Acodus                                   | Animal    | Chordata                   | -443400000    | -419200000   | Acodus
Actinoceras                              | Animal    | Mollusca                   | -433400000    | -423000000   | Actinoceras
Actinodictyon                            | Animal    | Porifera                   | -428200000    | -426200000   | <>
Actinopteria                             | Animal    | Mollusca                   | -433400000    | -419200000   | <>
Actinostroma                             | Animal    | Porifera                   | -433400000    | -427400000   | <>
Actinostromella                          | Animal    | Porifera                   | -430500000    | -427400000   | <>
Adamczakia                               | Animal    | Arthropoda                 | -433400000    | -423000000   | <>
Adaverina                                | Animal    | Cnidaria                   | -433400000    | -427400000   | <>
Aechmina                                 | Animal    | Arthropoda                 | -433400000    | -427400000   | <>
Aechminaria                              | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Aegiria                                  | Animal    | Brachiopoda                | -433400000    | -423000000   | <>
Aetholicotoxotis                         | Animal    | Arthropoda                 | -430500000    | -427400000   | <>
Agarhyncha                               | Animal    | Brachiopoda                | -430500000    | -427400000   | <>
Ainia                                    | Animal    | Cnidaria                   | -433400000    | -427400000   | Ainia
Akrosphaerorthoceras                     | Animal    | Mollusca                   | -430500000    | -425600000   | <>
Alaskaspongiella                         | Animal    | Porifera                   | -433400000    | -423000000   | <>
Alaskospira                              | Animal    | Brachiopoda                | -433400000    | -419200000   | <>
Alastega                                 | Animal    | Mollusca                   | -430500000    | -427400000   | <>
Aldanispirifer                           | Animal    | Brachiopoda                | -433400000    | -427400000   | <>
Aldridgeodus                             | Animal    | Chordata                   | -430500000    | -427400000   | <>
Aleodonta                                | Animal    | Mollusca                   | -430500000    | -427400000   | <>
Alispira                                 | Animal    | Brachiopoda                | -433400000    | -427400000   | <>
Allocrinus                               | Animal    | Echinodermata              | -433400000    | -427400000   | <>
Allocystites                             | Animal    | Echinodermata              | -438500000    | -427400000   | <>
Allotropiophyllum                        | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Altaja                                   | Animal    | Cnidaria                   | -433400000    | -423000000   | <>
Alveolites                               | Animal    | Cnidaria                   | -433400000    | -419200000   | <>
Amerista                                 | Animal    | Brachiopoda                | -430500000    | -425600000   | <>
Amorphognathus                           | Animal    | Chordata                   | -443400000    | -419200000   | Amorphognathus
Amosina                                  | Animal    | Brachiopoda                | -433400000    | -419200000   | <>
Amphicoelia                              | Animal    | Mollusca                   | -433400000    | -427400000   | <>
